,0.251945,10000,,0.108957,10000
,0.499925,10404,,0.224373,10404
,0.761431,10816,,0.344772,10816
,1.03017,11236,,0.469362,11236
,1.31003,11664,,0.59719,11664
,1.60424,12100,,0.729239,12100
,1.90176,12544,,0.865087,12544
,2.20919,12996,,1.00603,12996
,2.54017,13456,,1.15388,13456
,2.87155,13924,,1.30617,13924
,3.20991,14400,,1.46234,14400
,3.56994,14884,,1.62002,14884
,3.92981,15376,,1.78826,15376
,4.30298,15876,,1.96022,15876
,4.68738,16384,,2.13708,16384
,5.08549,16900,,2.32095,16900
,5.49634,17424,,2.50937,17424
,5.92004,17956,,2.70183,17956
,6.35491,18496,,2.90037,18496
,6.8026,19044,,3.10178,19044
,7.26255,19600,,3.3125,19600
,7.73375,20164,,3.52796,20164
,8.21996,20736,,3.75477,20736
,8.71821,21316,,3.98228,21316
,9.22885,21904,,4.21833,21904
,9.75555,22500,,4.45735,22500
,10.2942,23104,,4.70183,23104
,10.8462,23716,,4.95147,23716
,11.4153,24336,,5.20887,24336
,11.9994,24964,,5.47263,24964
,12.5979,25600,,5.74222,25600
,13.2113,26244,,6.01966,26244
,13.839,26896,,6.30298,26896
,14.4839,27556,,6.59332,27556
,15.1419,28224,,6.89031,28224
,15.8158,28900,,7.19385,28900
,16.5033,29584,,7.50355,29584
,17.2073,30276,,7.82361,30276
,17.9282,30976,,8.15055,30976
,18.6661,31684,,8.48295,31684
,19.4211,32400,,8.82201,32400
,20.1915,33124,,9.16915,33124
,20.9782,33856,,9.52303,33856
,21.7818,34596,,9.8854,34596
,22.604,35344,,10.2538,35344
,23.4434,36100,,10.6399,36100
,24.2987,36864,,11.026,36864
,25.1751,37636,,11.4146,37636
,26.0702,38416,,11.8108,38416
,26.9844,39204,,12.2152,39204
,27.9158,40000,,12.6264,40000
,28.8613,40804,,13.056,40804
,29.8287,41616,,13.4906,41616
,30.8176,42436,,13.9326,42436
,31.8255,43264,,14.3836,43264
,32.8507,44100,,14.8411,44100
,33.8956,44944,,15.307,44944
,34.9598,45796,,15.7946,45796
,36.0448,46656,,16.2814,46656
,37.1484,47524,,16.7755,47524
,38.2753,48400,,17.281,48400
,39.4216,49284,,17.7927,49284
,40.5885,50176,,18.3163,50176
,41.7748,51076,,18.8485,51076
,42.9833,51984,,19.3872,51984
,44.2116,52900,,19.9365,52900
,45.4597,53824,,20.4964,53824
,46.737,54756,,21.0667,54756
,48.0305,55696,,21.642,55696
,49.3466,56644,,22.2324,56644
,50.6871,57600,,22.8319,57600
,52.0457,58564,,23.5111,58564
,53.4318,59536,,24.1251,59536
,54.8363,60516,,24.7464,60516
,56.265,61504,,25.3772,61504
,57.7188,62500,,26.0181,62500
,59.196,63504,,26.6692,63504
,60.6942,64516,,27.3322,64516
,62.2166,65536,,28.0039,65536
,63.7643,66564,,28.6886,66564
